Beat,District,Community Area
2432,24,1
2423,24,1
2424,24,1
2422,24,1
2431,24,1
2422,6,1
2011,20,2
2411,24,2
2413,24,2
2412,24,2
2433,24,2
2411,12,2
1914,19,3
2033,20,3
1912,19,3
1913,19,3
2024,20,3
1915,19,3
2032,20,3
1925,19,3
1911,19,4
2011,20,4
2032,20,4
2031,20,4
1912,19,4
2012,20,4
1911,19,5
1921,19,5
1922,19,5
1931,19,5
1912,19,5
1933,19,6
1924,19,6
1923,19,6
1932,19,6
1925,19,6
1934,19,6
1922,19,6
1912,19,6
1931,19,6
1935,19,7
1814,18,7
1931,19,7
1811,18,7
1813,18,7
1932,19,7
1812,18,7
1832,18,8
1824,18,8
1822,18,8
1831,18,8
1834,18,8
1821,18,8
1823,18,8
1833,18,8
1824,15,8
1611,16,9
1612,16,9
1614,16,10
1611,16,10
1612,16,10
1613,16,10
1622,16,10
1623,16,11
1622,16,11
1621,16,11
1611,16,11
1623,16,12
1711,17,12
1621,16,12
1712,17,13
1711,17,13
1713,17,13
1723,17,14
1724,17,14
1712,17,14
1713,17,14
1722,17,14
1633,16,15
1624,16,15
1634,16,15
1623,16,15
1622,16,15
1722,17,15
1731,17,15
1633,25,15
1723,17,16
1731,17,16
1733,17,16
1722,17,16
1732,17,16
1724,17,16
1631,16,17
1633,16,17
1632,16,17
2511,25,17
1614,16,17
2512,25,18
2511,25,18
2521,25,19
2514,25,19
2533,25,19
2522,25,19
2512,25,19
2515,25,19
2511,25,19
2514,1,19
2524,25,20
2521,25,20
2523,25,20
2533,25,20
2522,25,20
2525,25,20
2535,25,20
2534,25,20
1732,17,21
1411,14,21
1412,14,21
2523,25,21
1432,14,21
1733,17,21
1414,14,22
1421,14,22
2525,25,22
1431,14,22
1413,14,22
1422,14,22
1434,14,22
1432,14,22
2524,25,22
1412,14,22
1411,14,22
2535,25,22
1433,14,22
1112,11,23
1111,11,23
1122,11,23
2533,25,23
1422,14,23
1121,11,23
1421,14,23
2534,25,23
2535,25,23
1221,12,23
1211,12,23
1123,11,23
1222,12,23
1421,14,24
1423,14,24
1215,12,24
1212,12,24
1424,14,24
1221,12,24
1211,12,24
1213,12,24
1214,12,24
1433,14,24
1434,14,24
1211,11,24
1223,12,24
1222,12,24
1532,15,25
1523,15,25
1522,15,25
1531,15,25
1533,15,25
1524,15,25
2532,25,25
1512,15,25
1513,15,25
1511,15,25
2533,25,25
1113,11,25
2531,25,25
1111,11,25
2513,25,25
1131,11,25
2515,25,25
2512,25,25
1512,25,25
1132,11,26
1122,11,26
1131,11,26
1113,11,26
1133,11,26
1115,11,26
1114,11,26
1123,11,27
1124,11,27
1134,11,27
1133,11,27
1135,11,27
1125,11,27
1222,12,27
1122,11,27
1231,12,28
1223,12,28
1225,12,28
1135,11,28
1232,12,28
1125,11,28
1233,12,28
1224,12,28
121,1,28
1214,12,28
124,1,28
1023,10,28
1222,12,28
1234,12,28
1215,12,28
1125,12,28
1011,10,29
1014,10,29
1013,10,29
1021,10,29
1012,10,29
1022,10,29
1132,11,29
1133,11,29
1134,11,29
1135,11,29
1023,10,29
1131,11,29
1024,10,29
1024,10,30
1033,10,30
1013,10,30
1034,10,30
1023,10,30
1032,10,30
1031,10,30
1022,10,30
911,9,30
815,8,30
1023,8,30
1235,12,31
1233,12,31
1034,10,31
1234,12,31
1023,10,31
912,9,31
913,9,31
911,9,31
1234,22,31
123,1,32
114,1,32
111,1,32
112,1,32
122,1,32
113,1,32
131,1,33
132,1,33
133,1,33
914,9,33
914,9,34
915,9,34
131,1,34
213,2,34
211,2,34
212,2,35
213,2,35
133,1,35
211,2,35
914,9,35
214,2,36
212,2,36
222,2,36
935,9,37
925,9,37
225,2,37
224,2,37
215,2,37
223,2,38
213,2,38
215,2,38
221,2,38
224,2,38
214,2,38
222,2,39
221,2,39
223,2,39
222,6,39
311,2,40
233,2,40
232,2,40
231,2,40
311,3,40
225,2,40
233,2,41
235,2,41
234,2,41
331,3,41
313,3,42
321,3,42
314,3,42
312,3,42
235,2,42
331,3,42
314,2,42
331,3,43
421,4,43
324,3,43
333,3,43
332,3,43
414,4,43
411,4,43
334,3,43
321,3,43
334,8,43
333,7,43
633,6,44
631,6,44
632,6,44
624,6,44
634,6,44
621,6,44
623,6,44
622,6,44
412,4,44
412,4,45
411,4,45
414,4,45
423,4,45
411,6,45
422,4,46
424,4,46
412,4,46
423,4,46
414,4,46
421,4,46
423,8,46
411,4,46
413,4,47
412,4,47
633,6,47
423,4,48
412,4,48
413,4,48
424,4,48
413,2,48
512,5,49
2233,22,49
531,5,49
513,5,49
511,5,49
522,5,49
2232,22,49
634,6,49
633,6,49
2223,22,49
511,3,49
512,5,50
513,5,50
511,5,50
531,5,50
434,4,51
431,4,51
413,4,51
513,5,51
433,4,51
432,4,51
432,4,52
433,4,52
524,5,53
532,5,53
523,5,53
522,5,53
533,5,54
532,5,54
433,4,55
434,4,55
814,8,56
811,8,56
815,8,56
813,8,56
1031,10,56
815,8,57
821,8,57
815,31,57
921,9,58
911,9,58
922,9,58
821,8,58
912,9,59
911,9,59
913,9,60
914,9,60
915,9,60
912,9,60
932,9,61
934,9,61
931,9,61
935,9,61
933,9,61
924,9,61
925,9,61
922,9,61
921,9,61
822,8,62
815,8,62
813,8,62
821,8,62
824,8,63
923,9,63
822,8,63
821,8,63
932,9,63
931,9,63
922,9,63
812,8,64
813,8,64
811,8,64
833,8,64
823,8,65
813,8,65
833,8,65
822,8,65
831,8,66
832,8,66
823,8,66
825,8,66
835,8,66
824,8,66
822,8,66
832,31,66
726,7,67
715,7,67
713,7,67
714,7,67
734,7,67
725,7,67
735,7,67
611,6,67
724,7,67
612,6,67
724,3,67
735,6,67
724,7,68
723,7,68
732,7,68
733,7,68
711,7,68
722,7,68
712,7,68
731,7,68
232,2,68
621,6,68
225,2,68
311,3,68
312,3,68
323,3,69
322,3,69
624,6,69
731,7,69
722,7,69
623,6,69
312,3,69
621,6,69
732,7,69
324,3,69
321,3,69
411,4,69
311,3,69
323,31,69
834,8,70
835,8,70
833,8,70
614,6,70
614,6,71
2222,22,71
613,6,71
2221,22,71
2223,22,71
612,6,71
621,6,71
611,6,71
622,6,71
612,4,71
2213,22,72
2212,22,72
2221,22,72
2211,22,72
2222,22,73
2221,22,73
2223,22,73
2232,22,73
2213,22,73
2233,22,73
2211,22,74
2234,22,75
2212,22,75
2233,22,75
1614,16,76
1654,16,76
1651,16,76
1653,16,76
1652,16,76
1655,16,76
1631,16,76
1654,31,76
2433,24,77
2022,20,77
2023,20,77
2013,20,77
2012,20,77
2013,25,77
